"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"673","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","1","A high number of imports can indicate a high degree of coupling within an object.","Coupling Rules","ExcessiveImports"
"674","rdfmaker","src/rdfmaker/MethodVisitor2.java","4","3","Avoid unused imports such as 'java.security.acl.LastOwnerException'","Type Resolution Rules","UnusedImports"
"675","rdfmaker","src/rdfmaker/MethodVisitor2.java","4","3","Avoid unused imports such as 'java.security.acl.LastOwnerException'","Type Resolution Rules","UnusedImports"
"676","rdfmaker","src/rdfmaker/MethodVisitor2.java","4","9","Avoid unused imports such as 'japa.parser.ast.Comment'","Type Resolution Rules","UnusedImports"
"677","rdfmaker","src/rdfmaker/MethodVisitor2.java","4","9","Avoid unused imports such as 'japa.parser.ast.Comment'","Type Resolution Rules","UnusedImports"
"678","rdfmaker","src/rdfmaker/MethodVisitor2.java","4","11","Avoid unused imports such as 'japa.parser.ast.body.BodyDeclaration'","Type Resolution Rules","UnusedImports"
"679","rdfmaker","src/rdfmaker/MethodVisitor2.java","4","11","Avoid unused imports such as 'japa.parser.ast.body.BodyDeclaration'","Type Resolution Rules","UnusedImports"
"680","rdfmaker","src/rdfmaker/MethodVisitor2.java","4","15","Avoid unused imports such as 'japa.parser.ast.body.TypeDeclaration'","Type Resolution Rules","UnusedImports"
"681","rdfmaker","src/rdfmaker/MethodVisitor2.java","4","15","Avoid unused imports such as 'japa.parser.ast.body.TypeDeclaration'","Type Resolution Rules","UnusedImports"
"682","rdfmaker","src/rdfmaker/MethodVisitor2.java","4","23","Avoid unused imports such as 'japa.parser.ast.expr.ClassExpr'","Type Resolution Rules","UnusedImports"
"683","rdfmaker","src/rdfmaker/MethodVisitor2.java","4","23","Avoid unused imports such as 'japa.parser.ast.expr.ClassExpr'","Type Resolution Rules","UnusedImports"
"684","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","60","Avoid really long classes.","Code Size Rules","ExcessiveClassLength"
"685","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","60","The class 'MethodVisitor2' has a Cyclomatic Complexity of 6 (Highest = 14).","Code Size Rules","CyclomaticComplexity"
"686","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","60","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"687","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","60","Too many fields","Code Size Rules","TooManyFields"
"688","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","62","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"689","rdfmaker","src/rdfmaker/MethodVisitor2.java","1","62","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"690","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","63","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"691","rdfmaker","src/rdfmaker/MethodVisitor2.java","1","63","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"692","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","64","Avoid excessively long variable names like project_file_counter","Naming Rules","LongVariable"
"693","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","64","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"694","rdfmaker","src/rdfmaker/MethodVisitor2.java","1","64","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"695","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","65","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"696","rdfmaker","src/rdfmaker/MethodVisitor2.java","1","65","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"697","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","66","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"698","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","69","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"699","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","70","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"700","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","71","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"701","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","72","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"702","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","73","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"703","rdfmaker","src/rdfmaker/MethodVisitor2.java","1","76","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"704","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","79","Avoid variables with short names like ns","Naming Rules","ShortVariable"
"705","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","122","Avoid using implementation types like 'HashSet'; use the interface instead","Type Resolution Rules","LooseCoupling"
"706","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","122","Avoid using implementation types like 'HashSet'; use the interface instead","Type Resolution Rules","LooseCoupling"
"707","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","124","Avoid using implementation types like 'HashSet'; use the interface instead","Type Resolution Rules","LooseCoupling"
"708","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","124","Avoid using implementation types like 'HashSet'; use the interface instead","Type Resolution Rules","LooseCoupling"
"709","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","134","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"710","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","134","Parameter 'currFileNumber' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"711","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","134","Parameter 'projectDir' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"712","rdfmaker","src/rdfmaker/MethodVisitor2.java","1","140","Overridable method 'load_the_classes' called during object construction","Design Rules","ConstructorCallsOverridableMethod"
"713","rdfmaker","src/rdfmaker/MethodVisitor2.java","1","152","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"714","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","154","Local variable 'util_class_path' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"715","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","157","Local variable 'file' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"716","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","158","Local variable 'scanner' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"717","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","159","Avoid unused local variables such as 'count'.","Unused Code Rules","UnusedLocalVariable"
"718","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","159","Found 'DD'-anomaly for variable 'count' (lines '159'-'164').","Controversial Rules","DataflowAnomalyAnalysis"
"719","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","159","Found 'DU'-anomaly for variable 'count' (lines '159'-'179').","Controversial Rules","DataflowAnomalyAnalysis"
"720","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","164","Found 'DD'-anomaly for variable 'count' (lines '164'-'164').","Controversial Rules","DataflowAnomalyAnalysis"
"721","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","164","Found 'DU'-anomaly for variable 'count' (lines '164'-'179').","Controversial Rules","DataflowAnomalyAnalysis"
"722","rdfmaker","src/rdfmaker/MethodVisitor2.java","2","176","System.out.print is used","Java Logging Rules","SystemPrintln"
"723","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","177","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"724","rdfmaker","src/rdfmaker/MethodVisitor2.java","1","181","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"725","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","181","Parameter 'commentText' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"726","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","183","Local variable 'comment' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"727","rdfmaker","src/rdfmaker/MethodVisitor2.java","2","184","System.out.print is used","Java Logging Rules","SystemPrintln"
"728","rdfmaker","src/rdfmaker/MethodVisitor2.java","1","188","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"729","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","188","Parameter 'block' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"730","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","192","Local variable 'stmts' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"731","rdfmaker","src/rdfmaker/MethodVisitor2.java","1","202","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"732","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","202","Parameter 'methodBody' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"733","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","205","Found 'DD'-anomaly for variable 'used' (lines '205'-'214').","Controversial Rules","DataflowAnomalyAnalysis"
"734","rdfmaker","src/rdfmaker/MethodVisitor2.java","2","219","System.out.print is used","Java Logging Rules","SystemPrintln"
"735","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","225","Avoid variables with short names like n","Naming Rules","ShortVariable"
"736","rdfmaker","src/rdfmaker/MethodVisitor2.java","2","239","System.out.print is used","Java Logging Rules","SystemPrintln"
"737","rdfmaker","src/rdfmaker/MethodVisitor2.java","2","240","System.out.print is used","Java Logging Rules","SystemPrintln"
"738","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","242","Found 'DU'-anomaly for variable 'rdf_file_name' (lines '242'-'315').","Controversial Rules","DataflowAnomalyAnalysis"
"739","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","243","Found 'DU'-anomaly for variable 'java_file_name' (lines '243'-'315').","Controversial Rules","DataflowAnomalyAnalysis"
"740","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","244","The String literal '==============================' appears 4 times in this file; the first occurrence is on line 244","String and StringBuffer Rules","AvoidDuplicateLiterals"
"741","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","247","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"742","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","279","Avoid unused local variables such as 'javafile'.","Unused Code Rules","UnusedLocalVariable"
"743","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","279","Found 'DU'-anomaly for variable 'javafile' (lines '279'-'315').","Controversial Rules","DataflowAnomalyAnalysis"
"744","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","285","Avoid unused local variables such as 'rdffile'.","Unused Code Rules","UnusedLocalVariable"
"745","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","285","Found 'DU'-anomaly for variable 'rdffile' (lines '285'-'315').","Controversial Rules","DataflowAnomalyAnalysis"
"746","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","294","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"747","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","313","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"748","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","317","Avoid variables with short names like n","Naming Rules","ShortVariable"
"749","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","333","Found 'DU'-anomaly for variable 'rdf_file_name' (lines '333'-'404').","Controversial Rules","DataflowAnomalyAnalysis"
"750","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","334","Found 'DU'-anomaly for variable 'java_file_name' (lines '334'-'404').","Controversial Rules","DataflowAnomalyAnalysis"
"751","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","339","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"752","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","372","Avoid unused local variables such as 'javafile'.","Unused Code Rules","UnusedLocalVariable"
"753","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","372","Found 'DU'-anomaly for variable 'javafile' (lines '372'-'404').","Controversial Rules","DataflowAnomalyAnalysis"
"754","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","378","Avoid unused local variables such as 'rdffile'.","Unused Code Rules","UnusedLocalVariable"
"755","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","378","Found 'DU'-anomaly for variable 'rdffile' (lines '378'-'404').","Controversial Rules","DataflowAnomalyAnalysis"
"756","rdfmaker","src/rdfmaker/MethodVisitor2.java","1","407","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"757","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","411","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"758","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","411","Substitute calls to size() == 0 (or size() != 0) with calls to isEmpty()","Design Rules","UseCollectionIsEmpty"
"759","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","416","Found 'DD'-anomaly for variable 'varID' (lines '416'-'416').","Controversial Rules","DataflowAnomalyAnalysis"
"760","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","416","Found 'DU'-anomaly for variable 'varID' (lines '416'-'431').","Controversial Rules","DataflowAnomalyAnalysis"
"761","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","422","The String literal 'Class' appears 4 times in this file; the first occurrence is on line 422","String and StringBuffer Rules","AvoidDuplicateLiterals"
"762","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","423","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"763","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","425","Do not add empty strings","Optimization Rules","AddEmptyString"
"764","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","433","Avoid really long methods.","Code Size Rules","ExcessiveMethodLength"
"765","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","433","The method 'explore_the_block' has a Cyclomatic Complexity of 12.","Code Size Rules","CyclomaticComplexity"
"766","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","433","The method explore_the_block() has an NPath complexity of 258","Code Size Rules","NPathComplexity"
"767","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","443","The String literal 'start' appears 8 times in this file; the first occurrence is on line 443","String and StringBuffer Rules","AvoidDuplicateLiterals"
"768","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","445","Avoid variables with short names like b","Naming Rules","ShortVariable"
"769","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","448","The String literal 'end' appears 8 times in this file; the first occurrence is on line 448","String and StringBuffer Rules","AvoidDuplicateLiterals"
"770","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","463","Avoid variables with short names like b","Naming Rules","ShortVariable"
"771","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","543","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"772","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","564","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"773","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","565","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"774","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","566","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"775","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","576","Deeply nested if..then statements are hard to read","Design Rules","AvoidDeeplyNestedIfStmts"
"776","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","582","Deeply nested if..then statements are hard to read","Design Rules","AvoidDeeplyNestedIfStmts"
"777","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","588","Deeply nested if..then statements are hard to read","Design Rules","AvoidDeeplyNestedIfStmts"
"778","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","596","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"779","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","610","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"780","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","611","Do not add empty strings","Optimization Rules","AddEmptyString"
"781","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","658","The method 'explore_the_expression_stmt' has a Cyclomatic Complexity of 14.","Code Size Rules","CyclomaticComplexity"
"782","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","658","The method explore_the_expression_stmt() has an NPath complexity of 332","Code Size Rules","NPathComplexity"
"783","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","664","Found 'DD'-anomaly for variable 'already_found' (lines '664'-'668').","Controversial Rules","DataflowAnomalyAnalysis"
"784","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","664","Found 'DD'-anomaly for variable 'already_found' (lines '664'-'671').","Controversial Rules","DataflowAnomalyAnalysis"
"785","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","664","Found 'DD'-anomaly for variable 'already_found' (lines '664'-'674').","Controversial Rules","DataflowAnomalyAnalysis"
"786","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","664","Found 'DD'-anomaly for variable 'already_found' (lines '664'-'677').","Controversial Rules","DataflowAnomalyAnalysis"
"787","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","664","Found 'DD'-anomaly for variable 'already_found' (lines '664'-'683').","Controversial Rules","DataflowAnomalyAnalysis"
"788","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","700","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"789","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","703","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"790","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","732","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"791","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","742","Found 'DD'-anomaly for variable 'targetResource' (lines '742'-'749').","Controversial Rules","DataflowAnomalyAnalysis"
"792","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","761","Found 'DD'-anomaly for variable 'targetResource' (lines '761'-'774').","Controversial Rules","DataflowAnomalyAnalysis"
"793","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","764","Avoid excessively long variable names like constructorProperty","Naming Rules","LongVariable"
"794","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","764","Found 'DU'-anomaly for variable 'constructorProperty' (lines '764'-'783').","Controversial Rules","DataflowAnomalyAnalysis"
"795","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","766","Found 'DU'-anomaly for variable 'initiatedProperty' (lines '766'-'783').","Controversial Rules","DataflowAnomalyAnalysis"
"796","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","772","These nested if statements could be combined","Basic Rules","CollapsibleIfStatements"
"797","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","788","Found 'DD'-anomaly for variable 'targetResource' (lines '788'-'794').","Controversial Rules","DataflowAnomalyAnalysis"
"798","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","803","Found 'DD'-anomaly for variable 'targetResource' (lines '803'-'811').","Controversial Rules","DataflowAnomalyAnalysis"
"799","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","826","Found 'DD'-anomaly for variable 'targetResource' (lines '826'-'832').","Controversial Rules","DataflowAnomalyAnalysis"
"800","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","846","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"801","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","856","The method 'visit' has a Cyclomatic Complexity of 12.","Code Size Rules","CyclomaticComplexity"
"802","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","865","Avoid excessively long variable names like constructorResource","Naming Rules","LongVariable"
"803","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","872","Do not add empty strings","Optimization Rules","AddEmptyString"
"804","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","874","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"805","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","879","Avoid empty if statements","Basic Rules","EmptyIfStmt"
"806","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","894","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"807","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","903","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"808","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","912","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"809","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","916","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"810","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","950","These nested if statements could be combined","Basic Rules","CollapsibleIfStatements"
"811","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","953","These nested if statements could be combined","Basic Rules","CollapsibleIfStatements"
"812","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","961","Do not add empty strings","Optimization Rules","AddEmptyString"
"813","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","975","Do not add empty strings","Optimization Rules","AddEmptyString"
"814","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","986","The method 'visit' has a Cyclomatic Complexity of 13.","Code Size Rules","CyclomaticComplexity"
"815","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","986","The method visit() has an NPath complexity of 253","Code Size Rules","NPathComplexity"
"816","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","991","Found 'DD'-anomaly for variable 'scopeResource' (lines '991'-'993').","Controversial Rules","DataflowAnomalyAnalysis"
"817","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","991","Found 'DD'-anomaly for variable 'scopeResource' (lines '991'-'998').","Controversial Rules","DataflowAnomalyAnalysis"
"818","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","992","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"819","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","993","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"820","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1003","Found 'DD'-anomaly for variable 'scopeValue' (lines '1,003'-'1,006').","Controversial Rules","DataflowAnomalyAnalysis"
"821","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1003","Found 'DD'-anomaly for variable 'scopeValue' (lines '1,003'-'1,008').","Controversial Rules","DataflowAnomalyAnalysis"
"822","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1003","Found 'DD'-anomaly for variable 'scopeValue' (lines '1,003'-'1,009').","Controversial Rules","DataflowAnomalyAnalysis"
"823","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1003","Found 'DD'-anomaly for variable 'scopeValue' (lines '1,003'-'1,014').","Controversial Rules","DataflowAnomalyAnalysis"
"824","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","1004","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"825","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","1006","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"826","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1006","Found 'DU'-anomaly for variable 'scopeValue' (lines '1,006'-'1,031').","Controversial Rules","DataflowAnomalyAnalysis"
"827","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","1008","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"828","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1008","Found 'DU'-anomaly for variable 'scopeValue' (lines '1,008'-'1,031').","Controversial Rules","DataflowAnomalyAnalysis"
"829","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","1009","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"830","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1009","Found 'DU'-anomaly for variable 'scopeValue' (lines '1,009'-'1,031').","Controversial Rules","DataflowAnomalyAnalysis"
"831","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1014","Found 'DU'-anomaly for variable 'scopeValue' (lines '1,014'-'1,031').","Controversial Rules","DataflowAnomalyAnalysis"
"832","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","1026","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"833","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","1027","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"834","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","1045","The method visit() has an NPath complexity of 337","Code Size Rules","NPathComplexity"
"835","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1052","Found 'DD'-anomaly for variable 'scopeResource' (lines '1,052'-'1,054').","Controversial Rules","DataflowAnomalyAnalysis"
"836","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1052","Found 'DD'-anomaly for variable 'scopeResource' (lines '1,052'-'1,059').","Controversial Rules","DataflowAnomalyAnalysis"
"837","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1065","Found 'DD'-anomaly for variable 'scopeValue' (lines '1,065'-'1,068').","Controversial Rules","DataflowAnomalyAnalysis"
"838","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1065","Found 'DD'-anomaly for variable 'scopeValue' (lines '1,065'-'1,070').","Controversial Rules","DataflowAnomalyAnalysis"
"839","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1065","Found 'DD'-anomaly for variable 'scopeValue' (lines '1,065'-'1,071').","Controversial Rules","DataflowAnomalyAnalysis"
"840","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1065","Found 'DD'-anomaly for variable 'scopeValue' (lines '1,065'-'1,076').","Controversial Rules","DataflowAnomalyAnalysis"
"841","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1080","Found 'DU'-anomaly for variable 'binOpr' (lines '1,080'-'1,098').","Controversial Rules","DataflowAnomalyAnalysis"
"842","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","1108","Avoid excessively long variable names like constructorResource","Naming Rules","LongVariable"
"843","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","1122","Avoid empty if statements","Basic Rules","EmptyIfStmt"
"844","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1139","Found 'DD'-anomaly for variable 'myTemp' (lines '1,139'-'1,142').","Controversial Rules","DataflowAnomalyAnalysis"
"845","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1139","Found 'DD'-anomaly for variable 'myTemp' (lines '1,139'-'1,145').","Controversial Rules","DataflowAnomalyAnalysis"
"846","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","1206","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"847","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1261","Found 'DD'-anomaly for variable 'typeResource' (lines '1,261'-'1,265').","Controversial Rules","DataflowAnomalyAnalysis"
"848","rdfmaker","src/rdfmaker/MethodVisitor2.java","5","1261","Found 'DU'-anomaly for variable 'typeResource' (lines '1,261'-'1,346').","Controversial Rules","DataflowAnomalyAnalysis"
"849","rdfmaker","src/rdfmaker/MethodVisitor2.java","3","1300","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
